m,Effective factor
1,0.9998481
2,0.9997674
3,0.9995954
4,0.9993047
5,0.9990616
6,0.9989233
7,0.9987625
8,0.9984759
9,0.9982858
10,0.9980987
11,0.9979733
12,0.9975016
13,0.9973920
14,0.9969454
15,0.9959999
16,0.9965883
17,0.9964387
18,0.9958102
19,0.9945766
20,0.9926006
21,0.9904003
22,0.9880327
23,0.9865720
24,0.9851882
25,0.9826377
26,0.9787501
27,0.9737679
28,0.9691224
29,0.9646597
30,0.9596997
31,0.9586121
32,0.9608744
33,0.9630638
34,0.9630464
35,0.9585523
36,0.9496447
37,0.9421552
38,0.9417637
39,0.9423220
40,0.9426292
41,0.9427333
42,0.9434999
43,0.9444069
44,0.9449281
45,0.9455665
46,0.9465688
47,0.9470244
48,0.9473433
49,0.9478946
50,0.9487438
51,0.9499181
52,0.9511380
53,0.9522004
54,0.9530392
55,0.9531547
56,0.9511605
57,0.9522992
58,0.9582541
59,0.9608281
60,0.9622603
61,0.9628796
62,0.9626590
63,0.9613535
64,0.9628552
65,0.9657093
66,0.9683528
67,0.9705157
68,0.9723705
69,0.9740608
70,0.9753504
71,0.9763351
72,0.9771320
73,0.9778632
74,0.9785472
75,0.9791556
76,0.9796691
77,0.9800863
78,0.9803786
79,0.9805285
80,0.9805647
81,0.9805234
82,0.9804278
83,0.9802855
84,0.9800908
85,0.9798215
86,0.9794465
87,0.9789208
88,0.9781305
89,0.9766521
90,0.9647951
91,0.9765989
92,0.9780139
93,0.9787272
94,0.9791490
95,0.9794196
96,0.9796415
97,0.9800275
98,0.9807881
99,0.9817123
100,0.9825687
101,0.9832438
102,0.9837891
103,0.9842962
104,0.9847575
105,0.9851015
106,0.9852497
107,0.9847969
108,0.9837978
109,0.9874136
110,0.9890575
111,0.9901572
112,0.9910225
113,0.9917525
114,0.9923389
115,0.9928124
116,0.9931988
117,0.9934872
118,0.9937196
119,0.9939263
120,0.9941425
121,0.9943551
122,0.9945700
123,0.9947760
124,0.9949567
125,0.9951263
126,0.9952694
127,0.9953754
128,0.9954498
