m,Interpolation energy,Normalized energy excess,Effective factor
1,1.980372542300e+10,1.000000000000e+00,0.999848098
2,1.701135326702e+10,7.547205814254e-01,0.999767390
3,1.451080891276e+10,5.350750502887e-01,0.999595426
4,1.253807854990e+10,3.617922178523e-01,0.999304682
5,1.130554047581e+10,2.535271996899e-01,0.999061638
6,1.076330607984e+10,2.058978258291e-01,0.998923334
7,1.045760010761e+10,1.790448925761e-01,0.998762488
8,1.008849459644e+10,1.466230017555e-01,0.998475869
9,9.808124580167e+09,1.219955557215e-01,0.998285844
10,9.595225673718e+09,1.032947103214e-01,0.998098746
11,9.426835450572e+09,8.850346699140e-02,0.997973304
12,9.258822374216e+09,7.374535189093e-02,0.997501613
13,9.070115227101e+09,5.716948852469e-02,0.997391976
14,8.921444555099e+09,4.411039254796e-02,0.996945359
15,8.824300457563e+09,3.557734378853e-02,0.995999859
16,8.755987799916e+09,2.957682236340e-02,0.996588263
17,8.709476072094e+09,2.549127469290e-02,0.996438704
18,8.668211084921e+09,2.186659592658e-02,0.995810156
19,8.622611395614e+09,1.786116088589e-02,0.994576561
20,8.581729493999e+09,1.427013200492e-02,0.992600604
21,8.553921012488e+09,1.182746039982e-02,0.990400274
22,8.531388816718e+09,9.848252912794e-03,0.988032705
23,8.511754896760e+09,8.123627324713e-03,0.986571989
24,8.494064503591e+09,6.569719353784e-03,0.985188219
25,8.478691727596e+09,5.219388757716e-03,0.982637746
26,8.467231212283e+09,4.212707564988e-03,0.978750082
27,8.458120726289e+09,3.412450800206e-03,0.973767917
28,8.450821054884e+09,2.771254334276e-03,0.969122411
29,8.445429281851e+09,2.297645917945e-03,0.964659741
30,8.441157119249e+09,1.922383058790e-03,0.959699713
31,8.437966182404e+09,1.642094082116e-03,0.958612096
32,8.435134251218e+09,1.393339834510e-03,0.960874409
33,8.432765321201e+09,1.185255186546e-03,0.963063821
34,8.430609847783e+09,9.959203710545e-04,0.963046359
35,8.428834166896e+09,8.399461845669e-04,0.958552309
36,8.427434267054e+09,7.169802616652e-04,0.949644666
37,8.426333542436e+09,6.202936169872e-04,0.942155250
38,8.425417661063e+09,5.398434341004e-04,0.941763675
39,8.424655873405e+09,4.729287023819e-04,0.942321979
40,8.424021261273e+09,4.171849525976e-04,0.942629197
41,8.423512850019e+09,3.725265726212e-04,0.942733280
42,8.423085669088e+09,3.350033899769e-04,0.943499930
43,8.422717915084e+09,3.027002142993e-04,0.944406934
44,8.422416493865e+09,2.762236498316e-04,0.944928052
45,8.422148149850e+09,2.526525567958e-04,0.945566517
46,8.421900869462e+09,2.309316734757e-04,0.946568802
47,8.421683521978e+09,2.118400690247e-04,0.947024384
48,8.421501302413e+09,1.958340689890e-04,0.947343257
49,8.421343246171e+09,1.819505530888e-04,0.947894619
50,8.421196111807e+09,1.690264050415e-04,0.948743796
51,8.421063560111e+09,1.573831852031e-04,0.949918056
52,8.420936457477e+09,1.462186059370e-04,0.951137968
53,8.420819454149e+09,1.359411405067e-04,0.952200389
54,8.420708925323e+09,1.262323894090e-04,0.953039222
55,8.420609579671e+09,1.175059581441e-04,0.953154727
56,8.420514774880e+09,1.091783919049e-04,0.951160546
57,8.420430689132e+09,1.017923766515e-04,0.952299236
58,8.420354355851e+09,9.508733099704e-05,0.958254142
59,8.420280653661e+09,8.861339799466e-05,0.960828110
60,8.420211134984e+09,8.250694093720e-05,0.962260331
61,8.420149168980e+09,7.706390373609e-05,0.962879565
62,8.420090204712e+09,7.188453630878e-05,0.962658962
63,8.420033103634e+09,6.686882984495e-05,0.961353528
64,8.419980452145e+09,6.224397119927e-05,0.962855221
65,8.419929121424e+09,5.773512748858e-05,0.965709254
66,8.419884382692e+09,5.380531814774e-05,0.968352828
67,8.419844275519e+09,5.028234077052e-05,0.970515690
68,8.419807717058e+09,4.707107893926e-05,0.972370545
69,8.419774763527e+09,4.417647087609e-05,0.974060759
70,8.419746292172e+09,4.167557310535e-05,0.975350418
71,8.419717957815e+09,3.918670908310e-05,0.976335120
72,8.419687315206e+09,3.649509033243e-05,0.977132000
73,8.419658011515e+09,3.392108083977e-05,0.977863229
74,8.419630165487e+09,3.147511122630e-05,0.978547244
75,8.419603831576e+09,2.916196453783e-05,0.979155594
76,8.419577635366e+09,2.686091340469e-05,0.979669071
77,8.419549723614e+09,2.440917055426e-05,0.980086272
78,8.419521419682e+09,2.192297908448e-05,0.980378633
79,8.419494663360e+09,1.957272818448e-05,0.980528529
80,8.419471872123e+09,1.757076671085e-05,0.980564732
81,8.419452217156e+09,1.584429242848e-05,0.980523401
82,8.419432930988e+09,1.415021303668e-05,0.980427814
83,8.419415835869e+09,1.264859339803e-05,0.980285475
84,8.419401413186e+09,1.138171810390e-05,0.980090751
85,8.419388534126e+09,1.025043320989e-05,0.979821476
86,8.419376457828e+09,9.189662260255e-06,0.979446528
87,8.419365229905e+09,8.203411776965e-06,0.978920830
88,8.419354779014e+09,7.285415087637e-06,0.978130541
89,8.419344793048e+09,6.408256930535e-06,0.976652117
90,8.419336255560e+09,5.658331768145e-06,0.964795097
91,8.419328852970e+09,5.008095024842e-06,0.976598884
92,8.419322014936e+09,4.407448379841e-06,0.978013906
93,8.419315682467e+09,3.851210070262e-06,0.978727198
94,8.419310390832e+09,3.386397717125e-06,0.979149015
95,8.419306101828e+09,3.009655475563e-06,0.979419624
96,8.419302050591e+09,2.653798534115e-06,0.979641538
97,8.419298358658e+09,2.329502505244e-06,0.980027548
98,8.419295079435e+09,2.041458582762e-06,0.980788081
99,8.419292180180e+09,1.786790679109e-06,0.981712288
100,8.419289534094e+09,1.554360934345e-06,0.982568706
101,8.419287125132e+09,1.342759877006e-06,0.983243833
102,8.419285033126e+09,1.159000005005e-06,0.983789078
103,8.419283171047e+09,9.954366697887e-07,0.984296152
104,8.419281438736e+09,8.432720116169e-07,0.984757496
105,8.419279977456e+09,7.149145189295e-07,0.985101505
106,8.419278710761e+09,6.036491941679e-07,0.985249677
107,8.419277595078e+09,5.056486652930e-07,0.984796860
108,8.419276650130e+09,4.226453101038e-07,0.983797785
109,8.419275871956e+09,3.542912000353e-07,0.987413617
110,8.419275194831e+09,2.948131517403e-07,0.989057518
111,8.419274623625e+09,2.446389347733e-07,0.990157205
112,8.419274129119e+09,2.012019752840e-07,0.991022452
113,8.419273713838e+09,1.647240686907e-07,0.991752545
114,8.419273383937e+09,1.357458762734e-07,0.992338879
115,8.419273113683e+09,1.120070208543e-07,0.992812430
116,8.419272894670e+09,9.276907520894e-08,0.993198766
117,8.419272728064e+09,7.813462493822e-08,0.993487154
118,8.419272597777e+09,6.669027395847e-08,0.993719562
119,8.419272492875e+09,5.747579945936e-08,0.993926256
120,8.419272399847e+09,4.930429666376e-08,0.994142494
121,8.419272316037e+09,4.194253975312e-08,0.994355147
122,8.419272243928e+09,3.560852560057e-08,0.994570005
123,8.419272184462e+09,3.038509507865e-08,0.994775975
124,8.419272132866e+09,2.585291987241e-08,0.994956748
125,8.419272086596e+09,2.178858336498e-08,0.995126260
126,8.419272045269e+09,1.815853136319e-08,0.995269421
127,8.419272008944e+09,1.496773820631e-08,0.995375439
128,8.419271978990e+09,1.233657970477e-08,0.995449840
